MAIN_ID,RA,DEC,Distance_distance,FLUX_V
PN H  1-13,17 28 27.5798,-35 07 31.602,2.647,14.0
NGC  6620,18 22 54.182,-26 49 17.19,8.938,13.3
PN H  1-1,16 13 28.1768,-34 35 39.387,16.59,9.61
PN HDW    3,03 27 15.4128,+45 24 20.390,916.086,17.187
HD 151895,16 54 35.1297,-64 14 28.564,4.094,11.72
PN M  1-77,21 19 07.3684,+46 18 47.160,6.081,11.91
PN A66   43,17 53 32.2767,+10 37 24.210,1.653,14.71
PN Tc    1,17 45 35.2879,-46 05 23.717,2.7,11.49
PN A66    7,05 03 07.5327,-15 36 22.720,0.221,15.495
PN Pe  2-8,15 23 42.8825,-57 09 25.218,5.06,15.5
PN Vy  2-1,18 27 59.6260,-26 06 48.065,8.09,13.2
WRAY 16-227,16 35 21.2301,-53 50 11.387,8.242,14.1
IC  351,03 47 32.9806,+35 02 48.639,5.685,12.27
IC 4673,18 03 18.4585,-27 06 22.715,3.257,13.5
HD 138403,15 37 11.2073,-71 54 52.887,3.627,10.47
IC 1747,01 57 35.6899,+63 19 18.447,3.026,15.4
IRAS 19170+1706,19 19 18.7059,+17 11 48.877,2443.793,14.958
PN M  1-79,21 37 01.500,+48 56 02.62,3.174,19.11
PN M  2-19,17 53 45.6485,-29 43 46.975,8.8,16.976
NGC  5315,13 53 56.9726,-66 30 50.859,3.443,14.4
PN G107.7+07.8,22 13 22.5173,+65 53 55.403,818.8,18.16
WR  72,16 06 28.4800,-35 45 12.390,1224.74,13.95
PN M  2-35,18 17 37.20,-31 56 46.8,10.46,15.0
PN M  2-18,17 53 37.85,-32 58 47.8,15.92,14.9
NGC  6439,17 48 19.820,-16 28 44.42,6.403,12.2
PN M  2-45,18 39 21.88,-04 19 51.0,4.554,15.0
PN H  1-39,17 53 21.0206,-33 55 58.445,14.72,15.2
PN Th  3-25,17 30 46.81,-27 05 58.0,14.67,16.9
MR  74,17 36 19.8953,-33 26 12.271,2300.966,13.18
PN Me  2-1,15 22 19.2811,-23 37 31.412,6.742,12.2
PN M  3-19,17 58 19.36,-30 00 39.3,7.961,15.5
PN H  1-56,18 07 53.8842,-29 44 34.338,12.76,15.0
PN M  1-4,03 41 43.4191,+52 17 00.267,6.676,14.27
PN HDW    4,05 37 56.2344,+55 32 15.751,292.989,16.54
PN PB    6,10 13 15.9622,-50 19 59.563,4.471,17.6
PN H  1-46,17 59 02.5031,-32 21 43.494,8.127,14.3
EM* AS  204,08 53 30.8813,-40 03 42.779,2.19,14.0
EM* AS  283,18 11 35.1005,-28 22 36.727,4.664,13.7
WRAY 15-1520,16 38 28.6289,-45 23 41.453,4516.712,13.3
BD+40   138,00 40 10.7600,+41 37 47.707,426.167,11.31
NGC  6572,18 12 06.3181,+06 51 13.027,1.681,10.8
NGC  6742,18 59 20.030,+48 27 55.24,5.15,16.567
PN M  3-21,18 02 32.33,-36 39 11.3,7.175,12.2
NGC  2392,07 29 10.7671,+20 54 42.474,2.097,9.68
WRAY 16-175,15 22 19.3810,-54 08 12.691,5.48,14.0
PN G131.4-05.4,01 53 03.432,+56 24 17.11,7.032,10.3
ESO 428-14,07 16 31.2062,-29 19 28.882,23.2,13.52
NAME PCG 11,16 33 48.7363,-49 28 44.010,4926.108,15.15
HD   1440,00 18 42.7677,+30 49 13.138,340.727,8.55
PN PB    2,08 20 40.1874,-46 22 58.508,9.203,13.6
NGC  6369,17 29 20.4566,-23 45 34.771,1.102,12.0
NGC  5979,15 47 41.1732,-61 13 05.549,4.122,12.1
IC 5217,22 23 55.7180,+50 58 00.464,5.431,15.5
PN M  2-29,18 06 40.9055,-26 54 56.375,8.731,14.29
NGC  1501,04 06 59.3920,+60 55 14.278,1.177,13.0
PN Pe  1-3,10 44 31.12,-61 39 38.5,5.659,14.7
IC 2621,11 00 20.0284,-65 14 57.829,4.924,11.424
MPA J1719-3043,17 19 20.0703,-30 43 40.314,1564.21,15.425
NGC  6884,20 10 23.6424,+46 27 39.631,4.465,10.9
WRAY 16-244,17 01 17.2316,-70 06 03.236,5.243,11.99
PN Sp    3,18 07 15.8007,-51 01 10.214,1.917,12.89
NGC  6326,17 20 46.252,-51 45 15.17,3.552,11.53
V* V471 Per,01 58 49.6646,+52 53 48.462,2.923,13.08
IC 2448,09 07 06.3191,-69 56 30.692,4.031,11.1
IC 4670,17 55 07.031,-21 44 40.04,4.253,13.28
PN H  1-12,17 26 24.2983,-35 01 41.378,2.26,14.0
WRAY 16-229,16 39 28.1078,-36 34 16.612,6.212,15.2
PN H  1-29,17 44 13.8729,-34 17 32.824,4.477,14.9
PN M  2-1,03 52 16.7461,+60 58 08.905,529.633,11.3
PN Pe  1-21,18 57 49.642,-05 27 39.73,5.182,16.0
PN M  2-38,18 19 25.19,-26 35 20.2,7.049,15.5
IC 4776,18 45 50.705,-33 20 34.12,5.023,10.62
PN H  1-14,17 28 01.7515,-24 25 23.316,6.463,15.5
PN A66   34,09 45 35.3370,-13 10 15.835,0.736,16.32
PN H  1-17,17 29 40.5936,-28 40 22.333,26.0,15.7
PN Pe  2-12,18 01 10.2665,-27 38 19.740,12.33,14.6
PN A66   36,13 40 41.3455,-19 52 55.324,0.383,11.57
NGC  6153,16 31 30.5708,-40 15 12.646,1.499,15.55
PN My   60,10 31 33.4335,-55 20 50.821,4.858,13.3
PN A66   26,08 09 01.644,-32 40 24.91,3.415,11.58
Hen 1-5,20 11 56.0595,+20 20 04.420,3.548,9.45
NGC  2346,07 09 22.5215,-00 48 23.610,1.733,11.58
2MASS J05243285-6900067,05 24 32.8496,-69 00 06.631,191.139,19.339
PN A66   28,08 41 35.5549,+58 13 48.384,0.927,16.557
NGC  3918,11 50 17.7709,-57 10 57.017,1.623,8.5
NGC  6891,20 15 08.8435,+12 42 15.584,2.9,12.51
PN K  1-22,11 26 43.7671,-34 22 11.178,1.009,16.07
PN H  1-35,17 49 13.9398,-34 22 52.812,5.935,12.9
WRAY 16-181,15 25 07.8463,-51 19 42.135,6.774,14.2
PN SaSt  2-15,17 38 57.3713,-18 17 35.788,17.03,13.66
WRAY 16-125,13 09 36.2390,-61 19 35.976,4.909,13.517
PN K  2-8,17 05 31.1715,-10 05 48.934,2718.869,14.72
PN A66   61,19 19 10.2027,+46 14 51.973,1559.089,17.39
Lan  21,19 44 59.1363,+22 45 47.753,392.203,15.77
PN KFL   19,18 23 08.890,-29 43 25.17,11.34,16.3
WRAY 15-619,10 39 08.6786,-51 24 12.651,1474.49,12.26
WRAY 16-44,09 22 06.7829,-54 09 39.462,5.133,13.4
PN A66   39,16 27 33.7199,+27 54 33.471,1.189,15.6
PN M  1-26,17 45 57.6673,-30 12 00.766,2.225,12.08
IC  418,05 27 28.2059,-12 41 50.282,1.552,9.01
PN Ba    1,03 53 36.549,+19 29 38.62,2.512,14.3
SH  2-68,18 24 58.4294,+00 51 36.021,408.847,16.5
EM* AS  281,18 10 43.8625,-27 57 50.104,5847.0,13.6
HD 148937,16 33 52.3869,-48 06 40.476,1188.072,6.71
PN DS    2,15 43 05.0418,-39 18 14.603,821.49,11.91
IC 4191,13 08 47.3071,-67 38 37.542,2.817,11.61
