MAIN_ID,RA,DEC,Distance_distance
PN PuWe    1,06 19 33.9428,+55 36 43.907,0.46
PN KFL   14,18 13 01.106,-29 25 15.59,6.246
NGC  6778,19 18 25.0,-01 35 47,3.187
WRAY 16-57,09 41 37.4988,-49 57 58.588,7.502
PN H  2-14,17 32 20.093,-39 51 25.60,4.487
2MASS J00402623+4138472,00 40 26.2315,+41 38 47.219,1094.571
NGC  7048,21 14 15.1876,+46 17 17.103,1.534
PN M  3-54,18 33 03.745,-13 44 19.95,8.731
PN ShWi    1,18 02 25.85,-29 25 05.4,7.363
PN G102.9-02.3,22 26 17.2674,+54 49 38.244,1.826
PN A66   24,07 51 37.5535,+03 00 21.156,0.536
WRAY 16-162,15 05 16.80,-55 11 10.5,4.719
PN K  3-66,04 36 37.2375,+33 39 30.074,13.0
[PFF2004b] f21p1,13 28 01.8608,-42 33 07.803,1309.415
PN H  1-23,17 32 46.92,-30 00 14.9,9.863
WRAY 16-226,16 34 04.2423,-35 05 26.739,5.754
LS 3235,14 24 32.3538,-51 38 39.090,2483.855
PN SB   27,16 19 14.0367,-37 47 27.911,154.024
PN K  3-24,19 12 05.88,+15 09 04.5,6.757
PN H  1-13,17 28 27.5798,-35 07 31.602,2.647
PN V-V  3-4,18 30 37.4452,-19 15 27.593,3076.923
NGC  6620,18 22 54.182,-26 49 17.19,8.938
PN H  1-1,16 13 28.1768,-34 35 39.387,16.59
PN Pe  1-15,18 46 24.3514,-07 14 35.074,8.344
NGC  6833,19 49 46.5667,+48 57 40.113,10.96
PN HDW    3,03 27 15.4128,+45 24 20.390,916.086
HD 151895,16 54 35.1297,-64 14 28.564,4.094
PN M  1-77,21 19 07.3684,+46 18 47.160,6.081
ESO 165-8,08 57 53.8408,-53 52 33.521,776.036
PN A66   43,17 53 32.2767,+10 37 24.210,1.653
PN Tc    1,17 45 35.2879,-46 05 23.717,2.7
PN K  3-63,21 39 11.976,+55 46 03.94,5.903
PN Th  3-14,17 25 44.0827,-26 57 47.933,23.04
PN Pe  1-13,18 34 51.57,-22 43 18.4,9.293
PN PB    1,07 02 46.809,-13 42 33.74,5.243
PN A66    7,05 03 07.5327,-15 36 22.720,0.221
PN A66    6,02 58 41.873,+64 30 06.32,0.978
PN M  3-31,18 44 01.7726,-19 54 52.743,21.86
PN Pe  2-8,15 23 42.8825,-57 09 25.218,5.06
PN BV    1,00 20 00.450,+62 59 03.16,10.67
WRAY 16-198,15 59 57.6368,-55 55 33.002,7.486
PN Vy  2-1,18 27 59.6260,-26 06 48.065,8.09
[RP2006] J051540-680628,05 15 40.9522,-68 06 28.776,129.939
WRAY 16-227,16 35 21.2301,-53 50 11.387,8.242
IC  351,03 47 32.9806,+35 02 48.639,5.685
IC 4673,18 03 18.4585,-27 06 22.715,3.257
PN Sa  2-21,08 08 44.3,-19 14 02,3.415
HD 138403,15 37 11.2073,-71 54 52.887,3.627
PN K  3-26,19 14 39.178,+00 13 36.29,14.31
IC 1747,01 57 35.6899,+63 19 18.447,3.026
NGC  6852,20 00 39.2100,+01 43 40.921,2.768
PN PC   12,16 43 53.7839,-18 57 11.951,14.51
PN M  2-48,19 50 28.5252,+25 54 29.545,6.446
IRAS 19170+1706,19 19 18.7059,+17 11 48.877,2443.793
PN Th  4-5,17 50 28.377,-19 03 10.01,6.649
PN M  1-79,21 37 01.500,+48 56 02.62,3.174
PN M  2-19,17 53 45.6485,-29 43 46.975,8.8
PHR J1818-1526,18 18 59.3239,-15 26 20.519,3112.356
PN KjPn    8,23 24 10.472,+60 57 30.75,16.7
NGC  5315,13 53 56.9726,-66 30 50.859,3.443
PN G107.7+07.8,22 13 22.5173,+65 53 55.403,818.8
PN M  1-64,18 50 02.090,+35 14 36.10,5.666
WR  72,16 06 28.4800,-35 45 12.390,1224.74
[RP2006] J052216-694127,05 22 16.1735,-69 41 26.951,1151.145
PN M  2-35,18 17 37.20,-31 56 46.8,10.46
PN G003.1+01.9,17 45 39.0894,-25 14 07.075,478.675
IC 2120,05 18 09.4,+37 32 38,1388.0
