MAIN_ID,RA,DEC,Distance_distance
PN H  2-16,17 39 55.615,-21 14 13.31,5.329
PN M  2-12,17 24 01.4751,-25 59 23.283,8.494
V* BE UMa,11 57 44.8279,+48 56 18.313,1412.629
PN H  2-25,17 49 00.481,-23 42 54.59,11.59
PN Lo   11,16 03 22.211,-36 00 53.73,2.483
PN K  3-30,19 16 27.6992,+05 13 19.413,9.536
PN G352.0-06.7,17 54 20.8276,-39 10 37.882,1470.156
PN M  2-44,18 37 36.9561,-03 05 57.027,5.042
ESO 561-17,08 09 14.0874,-18 41 42.217,85.15
NGC  7354,22 40 19.8733,+61 17 08.746,1.579
ESO 182-4,18 09 30.5234,-52 33 56.364,80.54
2MASS J23091627+6647306,23 09 16.2836,+66 47 30.303,710.026
EGB  6,09 52 58.9865,+13 44 34.622,647.0
PN K  4-5,18 45 36.655,-06 18 40.08,7.845
PN K  3-23,19 09 43.2290,+11 05 14.999,12460.0
PN My   47,09 19 27.50,-59 12 00.3,2.006
PN M  1-39,18 07 30.7,-13 28 49,6.447
PN K  3-83,21 35 43.83,+50 54 16.2,8.733
PN M  3-11,17 35 21.4316,-20 57 23.430,7.046
PN A66   31,08 54 13.1641,+08 53 52.941,0.238
PN M  2-23,18 01 42.6413,-28 25 44.117,4.312
PN H  4-1,12 59 27.7810,+27 38 10.661,18.26
[JCH96] NGC  4565 h,12 36 18.9533,+25 52 08.687,1755.31
PN Jn    1,23 35 53.3214,+30 28 06.336,988.728
PHR J1244-6601,12 44 59.5776,-66 01 03.997,2739.73
PN Pe  1-6,16 23 54.309,-46 42 15.28,5.443
PN A66   15,06 27 02.0384,-25 22 49.700,3.734
PN M  2-4,17 01 06.2230,-34 49 38.610,7.083
TK 2,17 38 02.5440,+66 53 47.602,171.774
PN HDW    1,01 07 07.6233,+73 33 23.447,320.595
PN Pe  1-7,16 30 25.8656,-46 02 50.864,5.313
PN M  3-33,18 48 12.1403,-25 28 52.423,8.486
WRAY 16-117,12 30 30.4344,-64 52 05.689,6.0
PN K  3-73,20 03 59.953,+49 19 06.15,7.371
PN M  1-51,18 33 29.05,-11 07 26.5,2.326
PN K  1-12,07 50 11.602,-19 18 16.47,2.69
PN M  1-65,18 56 33.6348,+10 52 09.588,9.297
HD 331319,19 49 29.5618,+31 27 16.248,3165.559
PN M  2-30,18 12 34.40,-27 58 10.5,9.553
WRAY 15-1440,16 15 42.2912,-59 54 01.013,7.566
WRAY 16-98,11 39 11.1965,-68 52 08.982,6.953
PN Th  4-2,17 46 09.813,-18 39 30.89,5.431
PN PB    3,08 54 18.3578,-50 32 22.600,4.949
IC 4662,17 47 09.192,-64 38 19.25,2.44
PN M  1-35,18 03 39.30,-26 43 33.9,6.164
UCAC3 156-201972,18 21 02.9274,-12 27 45.687,3372.681
PN M  3-3,07 26 34.228,-05 21 52.16,5.877
PN M  1-54,18 36 08.357,-16 59 57.02,3.857
PN K  3-3,18 27 09.236,+01 14 24.33,4.666
PN K  3-7,18 34 13.60,-02 27 37.1,5.412
NGC  5873,15 12 50.8605,-38 07 31.585,5.508
NAME PN Pa 5,19 19 30.5039,+44 45 42.705,2303.086
PN KFL    1,17 59 15.585,-30 02 47.15,9.076
PN M  1-45,18 23 07.9832,-19 17 05.323,5.237
PN H  2-17,17 40 07.4258,-24 25 42.592,10.84
MPA J1858-1430,18 58 19.2770,-14 30 25.813,1378.55
PN G016.7-01.8,18 28 02.4778,-15 16 21.479,3310.162
[DSH2001] 520-9,17 45 52.4483,-26 08 49.200,1493.206
ESO 259-10,08 34 07.0636,-47 16 37.104,1090.394
NGC  6563,18 12 02.50,-33 52 07.0,1.665
2MASS J00423413+4048190,00 42 34.1410,+40 48 19.109,775.916
PN M  3-1,07 02 49.9034,-31 35 29.173,5.139
PN G160.5-00.5,04 46 42.7,+44 28 00,2.149
PN HbDs    1,09 52 44.5227,-46 16 47.456,745.99
PN H  1-3,16 53 31.33,-42 39 22.8,2.137
PN PB    8,11 33 17.8152,-57 06 14.925,7.383
PN H  1-19,17 30 02.57,-27 59 17.5,12.07
PN Th  3-19,17 28 41.8036,-28 27 19.720,18.42
PN H  1-65,18 20 08.8466,-24 15 05.268,7.87
PN Sa  3-5,07 28 26.1492,-17 57 39.390,3070.31
NGC  6772,19 14 36.373,-02 42 25.04,1.29
PN Mz    2,16 14 32.3972,-54 57 04.660,2.391
PN M  1-12,07 19 21.4685,-21 43 55.402,9.237
PN HaTr   12,19 03 47.2679,+05 09 41.044,2483.238
WRAY 16-212,16 17 14.3671,-53 32 05.512,7.834
PHR J1757-1649,17 57 39.6192,-16 49 19.683,1776.514
NAME PN AMU 1,19 31 08.8801,+43 24 57.692,1587.05
Hen 1-7,20 19 38.1286,+27 00 11.223,7.947
PN K  3-39,19 35 54.469,+24 54 48.20,19.08
PN K  3-9,18 40 24.1837,-08 43 46.321,7280.0
PN K  3-88,23 12 15.494,+64 39 17.73,17.81
